  Time (in sec)   Displacement       Velocity
              0              1              0
        0.03125        0.99854     -0.0931722
         0.0625         0.9942      -0.184128
        0.09375       0.987071       -0.27138
          0.125       0.977291      -0.353648
        0.15625       0.965031      -0.429906
         0.1875       0.950492      -0.499419
        0.21875       0.933892      -0.561735
           0.25        0.91546      -0.616671
        0.28125       0.895427      -0.664273
         0.3125       0.874017      -0.704769
        0.34375       0.851449      -0.738524
          0.375       0.827925      -0.765995
        0.40625       0.803634      -0.787693
         0.4375       0.778749      -0.804148
        0.46875       0.753424      -0.815889
            0.5         0.7278      -0.823425
        0.53125       0.701999      -0.827234
         0.5625       0.676132      -0.827756
        0.59375       0.650294      -0.825391
          0.625       0.624571      -0.820496
        0.65625       0.599036      -0.813389
         0.6875       0.573754       -0.80435
        0.71875       0.548782      -0.793624
           0.75       0.524168      -0.781425
        0.78125       0.499956      -0.767938
         0.8125       0.476184      -0.753324
        0.84375       0.452884      -0.737721
          0.875       0.430085       -0.72125
        0.90625       0.407814      -0.704013
         0.9375       0.386091      -0.686098
        0.96875       0.364939      -0.667582
              1       0.344373       -0.64853
        1.03125       0.324411      -0.628997
         1.0625       0.305065      -0.609031
        1.09375        0.28635      -0.588674
          1.125       0.268277       -0.56796
        1.15625       0.250856      -0.546918
         1.1875       0.234098      -0.525574
        1.21875       0.218011      -0.503948
           1.25       0.202604      -0.482059
        1.28125       0.187885      -0.459921
         1.3125       0.173861      -0.437545
        1.34375        0.16054      -0.414941
          1.375        0.14793      -0.392116
        1.40625       0.136035      -0.369076
         1.4375       0.124865      -0.345824
        1.46875       0.114424      -0.322361
            1.5       0.104719      -0.298688
        1.53125      0.0957578      -0.274802
         1.5625      0.0875463      -0.250702
        1.59375      0.0800912      -0.226382
          1.625      0.0733997      -0.201836
        1.65625      0.0674789      -0.177057
         1.6875      0.0623362      -0.152035
        1.71875      0.0579794      -0.126759
           1.75      0.0544166      -0.101216
        1.78125      0.0516563     -0.0753915
         1.8125      0.0497077      -0.049268
        1.84375      0.0485804     -0.0228257
          1.875      0.0482847     0.00395716
        1.90625       0.048831      0.0310497
         1.9375      0.0502266      0.0582727
        1.96875      0.0524723       0.085423
              2      0.0555627         0.1123
        2.03125      0.0594862       0.138711
         2.0625      0.0642254       0.164473
        2.09375      0.0697572       0.189415
          2.125      0.0760537       0.213385
        2.15625      0.0830822       0.236247
         2.1875      0.0908064       0.257885
        2.21875      0.0991863       0.278203
           2.25        0.10818       0.297127
        2.28125       0.117742       0.314599
         2.3125       0.127826       0.330584
        2.34375       0.138387        0.34506
          2.375       0.149377       0.358024
        2.40625       0.160748       0.369485
         2.4375       0.172454       0.379465
        2.46875        0.18445       0.387996
            2.5       0.196689       0.395119
        2.53125        0.20913       0.400879
         2.5625       0.221731        0.40533
        2.59375        0.23445       0.408526
          2.625       0.247251       0.410525
        2.65625       0.260096       0.411387
         2.6875       0.272952       0.411169
        2.71875       0.285784       0.409932
           2.75       0.298562       0.407732
        2.78125       0.311258       0.404626
         2.8125       0.323843       0.400668
        2.84375       0.336291       0.395909
          2.875       0.348579       0.390398
        2.90625       0.360684       0.384183
         2.9375       0.372584       0.377307
        2.96875       0.384259       0.369812
              3       0.395691       0.361736
        3.03125       0.406862       0.353115
         3.0625       0.417755       0.343983
        3.09375       0.428356       0.334372
          3.125       0.438649       0.324309
        3.15625       0.448621       0.313822
         3.1875       0.458258       0.302935
        3.21875        0.46755       0.291671
           3.25       0.476484        0.28005
        3.28125        0.48505       0.268092
         3.3125       0.493237       0.255814
        3.34375       0.501035        0.24323
          3.375       0.508435       0.230356
        3.40625       0.515429       0.217205
         3.4375       0.522008       0.203787
        3.46875       0.528163       0.190114
            3.5       0.533888       0.176194
        3.53125       0.539173       0.162036
         3.5625       0.544012       0.147646
        3.59375       0.548399       0.133031
          3.625       0.552324       0.118195
        3.65625       0.555783       0.103142
         3.6875       0.558769      0.0878765
        3.71875       0.561274      0.0723999
           3.75       0.563291      0.0567135
        3.78125       0.564816      0.0408181
         3.8125        0.56584      0.0247132
        3.84375       0.566358     0.00839743
          3.875       0.566363    -0.00812965
        3.90625       0.565848     -0.0248286
         3.9375        0.56481     -0.0416175
        3.96875       0.563247     -0.0584117
              4        0.56116     -0.0751272
        4.03125       0.558553     -0.0916814
         4.0625       0.555433      -0.107994
        4.09375       0.551807       -0.12399
          4.125       0.547688      -0.139596
        4.15625       0.543087      -0.154745
         4.1875       0.538021      -0.169379
        4.21875       0.532507      -0.183441
           4.25       0.526563      -0.196886
        4.28125       0.520208      -0.209671
         4.3125       0.513465      -0.221765
        4.34375       0.506356       -0.23314
          4.375       0.498902      -0.243777
        4.40625       0.491127      -0.253662
         4.4375       0.483056      -0.262788
        4.46875       0.474711      -0.271154
            4.5       0.466117      -0.278764
        4.53125       0.457296      -0.285626
         4.5625       0.448273      -0.291752
        4.59375       0.439069      -0.297159
          4.625       0.429708      -0.301866
        4.65625        0.42021      -0.305896
         4.6875       0.410596      -0.309272
        4.71875       0.400887       -0.31202
           4.75       0.391101      -0.314169
        4.78125       0.381257      -0.315745
         4.8125       0.371372      -0.316778
        4.84375       0.361464      -0.317298
          4.875       0.351546      -0.317334
        4.90625       0.341635      -0.316915
         4.9375       0.331744       -0.31607
        4.96875       0.321885      -0.314828
              5       0.312071      -0.313218
        5.03125       0.302312      -0.311266
         5.0625        0.29262         -0.309
